1672
qstr_Not_enough_energy! Not_enough_energy!
qstr_MOT MOT
qstr_DIM DIM
qstr_General General
qstr_Walking Walking
qstr_Primary Primary
qstr_Group_header:_ Group_header:_
qstr_{s0}{s9} {s0}{s9}
qstr_{s0}{s8} {s0}{s8}
qstr_{s0}{s7} {s0}{s7}
qstr_{s0}{s6} {s0}{s6}
qstr_{s0}{s5} {s0}{s5}
qstr_{s0}{s4} {s0}{s4}
qstr_{s0}{s3} {s0}{s3}
qstr_{s0}{s2} {s0}{s2}
qstr_{s0}{s1} {s0}{s1}
qstr_Apply Apply
qstr_Leadership Leadership
qstr_Special_skills Special_skills
qstr_Infantry:_{s10} Infantry:_{s10}
qstr_Def._+_{reg0}%__^{re Def._+_{reg0}%__^{reg33?Atk._+_{reg33}%:}
qstr_Exp:{reg2}___Next:{r Exp:{reg2}___Next:{reg32}
qstr_Archer:___{s10} Archer:___{s10}
qstr_Cavalry:__{s10} Cavalry:__{s10}
qstr_Def._+_{reg0}%__^{reg Def._+_{reg0}%__^{reg33?Horse_Def._+_{reg33}%:}
qstr_Energy_Strike Energy_Strike
qstr_Unable Unable
qstr_Enabled Enabled
qstr_Disable Disable
qstr_The_Falcon_s_Eyes___ The_Falcon's_Eyes__(Find_the_trails_of_some_troops)
qstr_Darkness_Thunderbolt Darkness_Thunderbolt__(press_{s20}_in_battle)
qstr_Clouly_Storm___press Clouly_Storm__(press_{s20}_in_battle)
qstr_Prairie_fire___hold_ Prairie_fire__(hold_{s20}_on_horse_in_battle)
qstr_Powerfu_strike___hol Powerfu_strike__(hold_{s20}_on_foot_in_battle)
qstr_{s2}^^{s3}^^{s4} {s2}^^{s3}^^{s4}
qstr_Bleach_Kiss__hold_{s Bleach_Kiss_(hold_{s20}_then_shooting)
qstr_Doomsday_Storm__hold Doomsday_Storm_(hold_{s20}_and_W_when_riding)
qstr_Multishot_Arrow__hol Multishot_Arrow_(hold_{s20}_then_shooting)
qstr_Multiple_Shot__hold_ Multiple_Shot_(hold_{s20}_then_shooting)
qstr_Critical_Strike__Ene Critical_Strike_(Energy-Strike_damage_*_1.5)
qstr_{s2}^^{s1} {s2}^^{s1}
qstr_{s2} {s2}
qstr_Need_you_Level_not_l Need_you_Level_not_less_than_10,_Intelligence_not_less_than_12,_and_Ironflesh_not_less_than_6,_Power_Strike_not_less_than_6.
qstr_{s2}_has_been_assign {s2}_has_been_assigned_to_{s1}.
qstr_Hidden Hidden
qstr_Return Return
qstr_Weapons Weapons
qstr_Formation Formation
qstr_Tactical Tactical
qstr_tactic_requirement tactic_requirement
qstr_Group_Name Group_Name
qstr_Group_Tactic Group_Tactic
qstr_State State
qstr_Unset Unset
qstr_Outflank_Right Outflank_Right
qstr_Outflank_Left Outflank_Left
qstr_Holding_Highlands Holding_Highlands
qstr_Rush_Repeatedly Rush_Repeatedly
qstr_March_in_Line March_in_Line
qstr_March_in_Lines March_in_Lines
qstr_Not_Enabled Not_Enabled
qstr_Off Off
qstr_The_{s1}_group_is_em The_{s1}_group_is_empty,_cannot_execute_tactical.
qstr_Glod:_{reg2}_Denars Glod:_{reg2}_Denars
qstr_Start Start
qstr_Again Again
qstr_Bet:_{reg10}_Denars Bet:_{reg10}_Denars
qstr_1.Drag_the_slider_in 1.Drag_the_slider_in_the_left_to_bet,^then_click_the'Start'_to_begin.^^2.When_the_slots_start_running,_the^three_buttons_below_the_machine^will_become_bright,_click_on_them_to^stop_the_machine_slot.^^3.When_a_round_ends,_click_the'Again'^begin_a_new_round.
qstr_Close Close
qstr_Help Help
qstr_x{reg2}_Reward:{reg3 x{reg2},_Reward:{reg3}
qstr_{reg2}_Row_Reward:{r {reg2}_Row,_Reward:{reg4}
qstr_Total:_{reg5}_Denars Total:_{reg5}_Denars
qstr_Your_money_is_not_en Your_money_is_not_enough!
qstr_The_Commander_has_be The_Commander_has_been_canceled!
qstr_The_{s1}_Leader_has_ The_{s1}_Leader_has_been_canceled!
qstr_oolonglgx^oolonglgx^ oolonglgx^oolonglgx^oolonglgx^oolonglgx^oolonglgx^oolonglgx^oolonglgx^oolonglgx
qstr_Battle_Disposition Battle_Disposition
qstr_Commander: Commander:
qstr_Select Select
qstr_{s1}^^Leadership_of_ {s1}^^Leadership_of_Arms:
qstr_Infantry Infantry
qstr_{s1}^{s2}:_{s10} {s1}^{s2}:_{s10}
qstr_Archer Archer
qstr_Cavalry Cavalry
qstr_Vacancy Vacancy
qstr_Initial_Formation: Initial_Formation:
qstr_10M/Grid 10M/Grid
qstr_30 30
qstr_100 100
qstr_20M/Grid 20M/Grid
qstr_60 60
qstr_200 200
qstr_Troop_Setting Troop_Setting
qstr_Commander Commander
qstr_Grounp_Leaders: Grounp_Leaders:
qstr_INF INF
qstr_ARC ARC
qstr_CAV CAV
qstr_{s1}^{s2}{reg1?_{reg {s1}^{s2}{reg1?({reg1}):}
qstr_Please_select_a_comm Please_select_a_commander!
qstr_Show_players_lines Show_players_lines
qstr_Set_lines Set_lines
qstr_Battle_lines_show_fu Battle-lines_show_fullhelm
qstr_Battle_field_reinfor Battle_field_reinforcements_frequency
qstr_{reg1}_times {reg1}_times
qstr_Rapid_march_morale_l Rapid_march_morale_limit
qstr_Morale_not_less_than Morale_not_less_than_{reg1}
qstr_Fog_strength:_{reg2} Fog_strength:_{reg2}
qstr_Cloud_amount:_{reg2} Cloud_amount:_{reg2}
qstr_Frequency_of_Rain_or Frequency_of_Rain_or_Snow:_{reg2}%
qstr_Default Default
qstr_set_player_lines_ set_player_lines_
qstr_Fighting_lines_1 Fighting_lines_1
qstr_Fighting_lines_2 Fighting_lines_2
qstr_Endangered_lines_1 Endangered_lines_1
qstr_Endangered_lines_2 Endangered_lines_2
qstr_Whistled_for_call_ho Whistled_for_call_horse
qstr_Stop_the_horse Stop_the_horse
qstr_Tactics_setting_pane Tactics_setting_panel
qstr_Battle_mini_map Battle_mini_map
qstr_Energy_strike Energy_strike
qstr_Sprint Sprint
qstr_Rapid_march_world_ma Rapid_march(world_map)
qstr_Sneak_march_world_ma Sneak_march(world_map)
qstr_The_mirror_of_truth The_mirror_of_truth
qstr_Custom_battle_camera Custom_battle_camera_keys
qstr_Home_End_Delete_Page Home,_End,_Delete,_Page_Down
qstr__Arrow__Up_Down_Left (Arrow)_Up,_Down,_Left,_Right
qstr_Numpad8Numpad2Numpad Numpad8,Numpad2,Numpad4,Numpad6
qstr_Press_any_key Press_any_key
qstr_Cancel Cancel
qstr_Make_up Make_up
qstr_Take_apart Take_apart
qstr_Select_Make_up_or_Ta Select_Make_up_or_Take_apart.
qstr_Put_the_unarmored_ho Put_the_unarmored_hourse_and_the_armor_in_the^two_upper_left_inventory_boxes._The_assembling^result_will_be_displayed_in_the_lower_left_box._Press^'Done'_to_confirm_or_'Cancel'_to_return.
qstr_Put_the_armored_hour Put_the_armored_hourse_in_the_lower_left_inventory^boxe._The_disassembling_result_will_be_displayed_in^the_upper_left_boxes._Press_'Done'_to_confirm_or^'Cancel'_to_return.
qstr_Please_choose_the_co Please_choose_the_correct_items.
qstr_You_don_t_have_enoug You_don't_have_enough_space_in_your_inventory.
qstr__ _
qstr_the_history_01 the_history_01
qstr_the_history_02 the_history_02
qstr_the_history_03 the_history_03
qstr_the_history_04 the_history_04
qstr_the_history_05 the_history_05
qstr_the_history_06 the_history_06
qstr_the_history_07 the_history_07
qstr_the_history_08 the_history_08
qstr_the_history_09 the_history_09
qstr_the_history_10 the_history_10
qstr_the_history_11 the_history_11
qstr_the_history_12 the_history_12
qstr_the_history_13 the_history_13
qstr_the_history_14 the_history_14
qstr_the_history_15 the_history_15
qstr_the_history_16 the_history_16
qstr_the_history_17 the_history_17
qstr_the_history_18 the_history_18
qstr_the_history_19 the_history_19
qstr_Skip Skip
qstr_Hit Hit
qstr_Stay Stay
qstr_Double Double
qstr_Bet:_{reg51}Denar Bet:_{reg51}Denar
qstr_Money:_{reg1}Denar Money:_{reg1}Denar
qstr_Draw_the_bets_be_ret Draw,_the_bets_be_returned_to_you.
qstr_The_banker_has_a_Bla The_banker_has_a_Blackjack!_You_lose_50%_more_of_your_bets!
qstr_You_have_a_Blackjack You_have_a_Blackjack!_You_win_50%_more_of_your_bets!
qstr_Bet:_0_Denar Bet:_0_Denar
qstr_The_banker_s_hand_va The_banker's_hand_value_is_over_21._You_win!
qstr_Your_hand_value_is_o Your_hand_value_is_over_21._You_lose!
qstr_The_banker_has_a_hig The_banker_has_a_higher_hand_value._You_lose!
qstr_You_have_a_higher_ha You_have_a_higher_hand_value._You_win!
qstr_You_lose._Try_again? You_lose._Try_again?
qstr_You_win!_Try_again? You_win!_Try_again?
qstr_Draw._Try_again? Draw._Try_again?
qstr_Yes Yes
qstr_No No
qstr_Banker_stay. Banker_stay.
qstr_You_stay. You_stay.
qstr_Double_bets!_You_can Double_bets!_You_can_only_get_one_card_again.
qstr_Not_right_now. Not_right_now.
qstr_Forces_have_been_rea Forces_have_been_ready,_waiting_for_your_orders!
qstr_Good_goal_of_Zendar_ Good,_goal_of_Zendar,_whole_army_advance!
qstr_darkpilgrims_lair_1 darkpilgrims_lair_1
qstr_darkpilgrims_lair_2 darkpilgrims_lair_2
qstr_darkpilgrims_lair_3 darkpilgrims_lair_3
qstr_darkpilgrims_lair_4 darkpilgrims_lair_4
qstr_..._..._... ..._..._...
qstr_darkpilgrims_lair_5 darkpilgrims_lair_5
qstr_darkpilgrims_lair_6 darkpilgrims_lair_6
qstr_darkpilgrims_lair_7 darkpilgrims_lair_7
qstr_darkpilgrims_lair_8 darkpilgrims_lair_8
qstr_darkpilgrims_lair_9 darkpilgrims_lair_9
qstr_darkpilgrims_lair_10 darkpilgrims_lair_10
qstr_darkpilgrims_lair_11 darkpilgrims_lair_11
qstr_darkpilgrims_lair_12 darkpilgrims_lair_12
qstr_darkpilgrims_lair_13 darkpilgrims_lair_13
qstr_darkpilgrims_lair_14 darkpilgrims_lair_14
qstr_darkpilgrims_lair_15 darkpilgrims_lair_15
qstr_darkpilgrims_lair_16 darkpilgrims_lair_16
qstr_darkpilgrims_lair_17 darkpilgrims_lair_17
qstr_darkpilgrims_lair_18 darkpilgrims_lair_18
qstr_an_old_legend_1 an_old_legend_1
qstr_an_old_legend_2 an_old_legend_2
qstr_an_old_legend_3 an_old_legend_3
qstr_an_old_legend_4 an_old_legend_4
qstr_an_old_legend_5 an_old_legend_5
qstr_an_old_legend_6 an_old_legend_6
qstr_an_old_legend_7 an_old_legend_7
qstr_an_old_legend_8 an_old_legend_8
qstr_an_old_legend_9 an_old_legend_9
qstr_an_old_legend_10 an_old_legend_10
qstr_an_old_legend_11 an_old_legend_11
qstr_an_old_legend_12 an_old_legend_12
qstr_an_old_legend_13 an_old_legend_13
qstr_an_old_legend_14 an_old_legend_14
qstr_an_old_legend_15 an_old_legend_15
qstr_an_old_legend_16 an_old_legend_16
qstr_an_old_legend_17 an_old_legend_17
qstr_an_old_legend_18 an_old_legend_18
qstr_an_old_legend_19 an_old_legend_19
qstr_an_old_legend_20 an_old_legend_20
qstr_an_old_legend_21 an_old_legend_21
qstr_an_old_legend_22 an_old_legend_22
qstr_an_old_legend_23 an_old_legend_23
qstr_an_old_legend_24 an_old_legend_24
qstr_an_old_legend_25 an_old_legend_25
qstr_an_old_legend_26 an_old_legend_26
qstr_an_old_legend_27 an_old_legend_27
qstr_an_old_legend_28 an_old_legend_28
qstr_an_old_legend_29 an_old_legend_29
qstr_an_old_legend_30 an_old_legend_30
qstr_an_old_legend_31 an_old_legend_31
qstr_an_old_legend_32 an_old_legend_32
qstr_meet_melva_01 meet_melva_01
qstr_meet_melva_02 meet_melva_02
qstr_meet_melva_03 meet_melva_03
qstr_meet_melva_041 meet_melva_041
qstr_meet_melva_042 meet_melva_042
qstr_meet_melva_043 meet_melva_043
qstr_meet_melva_05 meet_melva_05
qstr_meet_melva_06 meet_melva_06
qstr_meet_melva_07 meet_melva_07
qstr_meet_melva_08 meet_melva_08
qstr_meet_melva_09 meet_melva_09
qstr_Main_payrt_morale:_{ Main_payrt_morale:_{reg4}
qstr_global_changes_01 global_changes_01
qstr_global_changes_02 global_changes_02
qstr_global_changes_03 global_changes_03
qstr_global_changes_04 global_changes_04
qstr_global_changes_05 global_changes_05
qstr_global_changes_06 global_changes_06
qstr_global_changes_07 global_changes_07
qstr_global_changes_08 global_changes_08
qstr_global_changes_09 global_changes_09
qstr_global_changes_10 global_changes_10
qstr_global_changes_11 global_changes_11
qstr_global_changes_12 global_changes_12
qstr_global_changes_13 global_changes_13
qstr_global_changes_14 global_changes_14
qstr_global_changes_dk01 global_changes_dk01
qstr_global_changes_dk02 global_changes_dk02
qstr_global_changes_dk03 global_changes_dk03
qstr_global_changes_dk04 global_changes_dk04
qstr_global_changes_dk05 global_changes_dk05
qstr_global_changes_dk06 global_changes_dk06
qstr_global_changes_dk07 global_changes_dk07
qstr_global_changes_dk08 global_changes_dk08
qstr_global_changes_dk09 global_changes_dk09
qstr_global_changes_dk10 global_changes_dk10
qstr_global_changes_dk11 global_changes_dk11
qstr_global_changes_dk12 global_changes_dk12
qstr_global_changes_dk13 global_changes_dk13
qstr_global_changes_dk14 global_changes_dk14
qstr_{!}DEBUG_:_Completed {!}DEBUG_:_Completed_faction_troop_assignments,_cheat_mode:_{reg3}
qstr_{!}ERROR:_Not_enough {!}ERROR:_Not_enough_banners_for_heroes!
qstr_{!}DEBUG____initial_ {!}DEBUG_--_initial_war/peace_check_begins
qstr_{!}DEBUG_:_Completed_ {!}DEBUG_:_Completed_political_events,_cheat_mode:_{reg3}
qstr_{!}DEBUG_:_Assigned_ {!}DEBUG_:_Assigned_love_interests._Attraction_seed:_{reg3}
qstr_{!}DEBUG_:_Located_k {!}DEBUG_:_Located_kingdom_ladies,_cheat_mode:_{reg3}
qstr_{!}DEBUG_:_SYSTEM_ER {!}DEBUG_:_SYSTEM_ERROR!
qstr_Trap_built_fail Trap_built_fail
qstr_{!}DEBUG_:_Prisoner_ {!}DEBUG_:_Prisoner_granted_parole
qstr_{!}DEBUG_:_Prisoner_n {!}DEBUG_:_Prisoner_not_offered_parole
qstr_{s1}_of_{s3}_was_def {s1}_of_{s3}_was_defeated_in_battle_but_managed_to_escape.
qstr_{s1}_has_returned_to {s1}_has_returned_to_main_party.
qstr_Quest_canceled:_resc Quest_canceled:_rescue_captured_noble.
qstr_{!}DEBUG_:_Siege_att {!}DEBUG_:_Siege_attackers_are_running_away
qstr_{!}DEBUG:_{s1}_no_lo {!}DEBUG:_{s1}_no_longer_leads_a_party.
qstr_{!}DEBUG:_{s1}_is_no {!}DEBUG:_{s1}_is_no_longer_a_prisoner.
qstr_{!}DEBUG:_{s1}_is_now {!}DEBUG:_{s1}_is_now_a_prisoner_of_player.
qstr_{!}DEBUG:_{s1}_is_now_ {!}DEBUG:_{s1}_is_now_a_prisoner_of_{s2}.
qstr_Unique_item_2! Unique_item_2!
qstr_Warning! Warning!
qstr_Important_item! Important_item!
qstr_Unique_item! Unique_item!
qstr_Lead_troops_alone. Lead_troops_alone.
qstr_{s10} {s10}
qstr_Inf._leadership:_{s1 Inf._leadership:_{s1}^Arh._leadership:_{s2}^Cav._leadership:_{s3}
qstr_{s0} {s0}
qstr_{reg35?{s20}^^{s21}: {reg35?{s20}^^{s21}:{s21}}
qstr_{s54}_is_a_claimant_ {s54}_is_a_claimant_to_the_throne_of_{s56}.
qstr_nowhere nowhere
qstr_{s57}_and_{s58} {s57}_and_{s58}
qstr_{!}{s57}_{s58} {!}{s57},_{s58}
qstr_{reg3?She:He} {reg3?She:He}
qstr_{!}^{s59} {!}^{s59}
qstr_The_town_of_{s50} The_town_of_{s50}
qstr_The_village_of_{s50} The_village_of_{s50}_near_{s52}
qstr_{!}{s50} {!}{s50}
qstr_{s51}_belongs_to_{s1 {s51}_belongs_to_{s1}_of_{s2}.^
qstr_{s7}_and_{s8} {s7}_and_{s8}
qstr_{!}{s7}_{s8} {!}{s7},_{s8}
qstr_{s2}It_has_no_villag {s2}It_has_no_villages.^
qstr_{s2}{reg0?Its_villag {s2}{reg0?Its_villages_are:Its_village_is}_{s8}.^
qstr_{s2}Its_prosperity_i {s2}Its_prosperity_is:_{s50}
qstr_noone noone
qstr_{s9}_and_{s10} {s9}_and_{s10}
qstr_{!}{s9}_{s10} {!}{s9},_{s10}
qstr_{!}DEBUG_:_{s21}.^CH {!}DEBUG_:_{s21}.^CHEAT_MODE_ASSESSMENT:_{s14}^
qstr_{s5}_has_been_defeat {s5}_has_been_defeated!
qstr_{!}DEBUG____Assigned {!}DEBUG_--_Assigned_lord_reputation_and_relations
qstr_{s7}_opened_the_gate {s7}_opened_the_gate
qstr_{s7}_closed_the_gate {s7}_closed_the_gate
qstr_+{reg1}_to_party_mor +{reg1}_to_party_morale
qstr_Requires_{reg1}_inte Requires_{reg1}_intelligence_to_read
qstr_You_need_250_courage You_need_250_courage_to_read_it.
qstr_Reading_Progress:_{r Reading_Progress:_{reg1}%
qstr_Reading_pragress:{re Reading_pragress:{reg1}%_^^The_first_page_writes:^[The_oath]^I_will_be_kind_to_the_weak.^I_will_be_brave_against_the_strong.^I_will_fight_all_who_do_wrong.^I_will_fight_for_those_who_cannot_fight.^I_will_help_those_tho_call_me_for_help.^I_will_harm_no_woman.^I_will_help_my_brother_knight.^I_will_be_true_to_my_friends.^I_will_be_faithful_in_love.
qstr_Reading_pragress:_{r Reading_pragress:_{reg1}%_^^It_wirtes^'The_one_who_wants_to_study_^this_must_castrate_himself._^If_not,_^he_willn't_success...'
qstr_wound_treament wound_treament
qstr_trainer trainer
qstr_surgery surgery
qstr_pathfinding pathfinding
qstr_engineer engineer
qstr_tactics tactics
qstr_+1_to_{s1}_while_in_ +1_to_{s1}_while_in_inventory
qstr_Can_Penetrate_Shield Can_Penetrate_Shield
qstr_Extra_Penetration Extra_Penetration
qstr_Armor:_{s10}^Speed:_ Armor:_{s10}^Speed:_{s11}^Maneuver:_{s12}^Charge:_{s13}^HP:_{s14}^Requires_Riding_Skill:_{s15}
qstr_Press_X_to_switch_mo Press_X_to_switch_mode
qstr_For_Fusion For_Fusion
qstr_feather_arrows_text feather_arrows_text
qstr_For_build_a_trap For_build_a_trap
qstr_A_weapon_from_the_ol A_weapon_from_the_old_estern_kingdom._^Is_has_a_streight_body._It_is_plain_within_^the_scabbard_and_incisive_without_it,_^shows_the_abysmal_estern_influence._^The_turn_expert_will_never_praise_himself,_^the_one_who_praise_himself_is_never_an_expert,_^this_is_the_estern_Confucian_culture.
qstr_badaoshu badaoshu
qstr_The_sword_of_the_fam The_sword_of_the_famous_Persian_King_Daria,_^it_was_with_him_all_his_life._^It_shows_the_victory_of_the_king_and_^represents_his_brilliant_life.
qstr_The_symbol_of_the_le The_symbol_of_the_legendary_King_^Arthur's_power,_with_this_magcial,_royal_sword,_^the_knights_gave_him_their_homage._^It_not_onlty_ensured_his_kingship,_^but_also_bring_him_many_victories.
qstr_Paladin_Roland_s_swo Paladin_Roland's_sword_in_the_famous_<Song_of_Roland>,_^and_he_was_the_first_one_be_called_paladin._^His_sword_and_horn_are_all_holy_stuff,_^they_are_the_symbol_of_holiness_and_justice.
qstr_The_main_weapon_of_G The_main_weapon_of_Gimli,_the_great_aix_^was_made_by_a_elf_master-smith_from_meteorolite,_^full_of_power_and_never_has_any_abrasions.
qstr_Made_by_the_famous_T Made_by_the_famous_Telchar_from_Nogrod,_^borken_in__Elendil's_battle_with_the_dark_lord_Sauron._^Elendil's_son_Isildur_cut_Sauron's_finger_^by_the_broken_sword_and_defeated_him._^Narsil_was_refound_in_the_battle_of_the_ring,_^by_Isildur's_descendant_Aragorn.
qstr_Made_by_the_iron_for Made_by_the_iron_form_meteorolite,_^long_but_not_heavy._The_spear_was_refined_^hundreds_of_times,_it's_sharp_with_tenacity._^It'll_have_great_use_if_use_it_well,_^and_could_be_called_the_king_in_all_weapons.
qstr_Shows_the_colour_of_ Shows_the_colour_of_dark_purple,_^the_bow_is_decorated_with_golden_patterns._^The_translucent_string_shows_golden_effulgence._^It_is_more_deadly_and_portable_than_war_bows_^although_they_looks_similar.
qstr_The_armour_is_made_b The_armour_is_made_by_special_forge_technics,_^there_are_subtle_patterns_on_it,_^and_it's_stronger_than_normal_armours._^There_are_three_parts_in_the_suit,_^include_the_body-armour_itself,_greaves_and_the_gauntlet._^The_whole_suit_will_increase_ironflesh_by_2_points,_^and_will_have_bonus_with_the_huntsman's_helmet.
qstr_Leadership_+1._^Will Leadership_+1._^Will_have_bonus_with_the_Damascene-steel_suit._
qstr_iron_staff_ex_text iron_staff_ex_text
qstr_gai_bolga_text gai_bolga_text
qstr_haemophilus_cast_spe haemophilus_cast_spear_text
qstr_heaven_hammer_text heaven_hammer_text
qstr_Be_able_to_pull_thro Be_able_to_pull_through_so_that_the_holders_of_the_Shield,_^Every_time_the_use_of_take_some_time_to_recover
qstr_Edutied_by_several_m Edutied_by_several_most_famous_scholars_together,_^it's_a_rare_seen_book._The_completed_cyclopedia_^has_two_parts,_this_is_the_first_part.__
qstr_Edutied__by_several_ Edutied__by_several_most_famous_scholars_together,_^it's_a_rare_seen_book._The_completed_cyclopedia_^has_two_parts,_this_is_the_second_part.
qstr_Leave_from_river_pri Leave_from_river_priates'_stronghold_away_from_the_sea,_^^not_No.1,_it's_No.3.
qstr_Only_stones_couldhum Only_stones_couldhumbug_the_guards,_^otherwish_you_can_do_nothing._
qstr_The_dim_candlelight_ The_dim_candlelight,_the_lethal_dinner,_^they_saw_everything.
qstr_See_may_not_be_true_ See_may_not_be_true,_^mirror_could_testify.
qstr_Torture_them_from_ri Torture_them_from_right_to_left,_again_and_again,_^until_them_tell_the_turth.
qstr_The_mirror_of_truth. The_mirror_of_truth.
qstr_It_represents_the_gr It_represents_the_greastes_honour_of_mercenary_knights,_^only_the_elit_almong_them_may_receive_it.
qstr_It_represents__the_g It_represents__the_greastes_honour_of_mercenary_knights,_^only_the_elit_almong_them_may_receive_it.
qstr_The_golden_medal_cav The_golden_medal_caved_ancient_characters,_^its_strange_pattern_shows_some_mystic_sheen._^There_are_many_tales_about_this_medal._^It_may_contains_many_unknown_secret,_^like_what_the_tales_said._
qstr_The_most_valuable_tr The_most_valuable_treasure_in_Calradia,_^the_symbol_of_the_king.
qstr_The_gem_contains_the The_gem_contains_the_power_of_wind._^training_+1,_spotting_+1
