1116
qstr_{reg61}.{reg62} {reg61}.{reg62}
qstr_Enable_party_vigor: Enable_party_vigor:
qstr_Enable_cheat_mode: Enable_cheat_mode:
qstr_Faction_color_of_{s0 Faction_color_of_{s0}:
qstr_Red: Red:
qstr_Green: Green:
qstr_Blue: Blue:
qstr__ _
qstr_HTML_code:_{s0} HTML_code:_{s0}
qstr_Default Default
qstr_Randomize Randomize
qstr_{s1}_{reg3}/{reg2}_ {s1}({reg3}/{reg2})
qstr_{s1}_{reg2}_ {s1}({reg2})
qstr_Move_to_Bottom Move_to_Bottom
qstr_Move_Down Move_Down
qstr_Move_Up Move_Up
qstr_Move_to_Top Move_to_Top
qstr_Auto_sort Auto-sort
qstr_You_can_lay_some_mon You_can_lay_some_money_to_this_{reg3?castle:town}_for_recruiting_troops_of_{s2}_automatically._It_costs_{reg9}_dinaers_per_time._^^You_have_{reg6}_dinaers_left_here_and_have_{reg10}_dinaers_in_your_package.
qstr_Times_of_recruiting: Times_of_recruiting:_{reg7}
qstr_+1_time +1_time
qstr_+2_times +2_times
qstr_+5_times +5_times
qstr_+10_times +10_times
qstr_+20_times +20_times
qstr__20_time -20_time
qstr__10_times -10_times
qstr__5_times -5_times
qstr__2_times -2_times
qstr__1_times -1_times
qstr_Your_gender: Your_gender:
qstr_You_were_born_in: You_were_born_in:
qstr_Your_father_was: Your_father_was:
qstr_You_spent_your_early You_spent_your_early_life_as:
qstr_Later_you_became: Later_you_became:
qstr_The_reason_for_an_ad The_reason_for_an_adventure:
qstr__A2__female (A2)_female
qstr__A1__male (A1)_male
qstr_A2 A2
qstr_A1 A1
qstr__B4__winter (B4)_winter
qstr__B3__autumn (B3)_autumn
qstr__B2__summer (B2)_summer
qstr__B1__spring (B1)_spring
qstr_B4 B4
qstr_B3 B3
qstr_B2 B2
qstr_B1 B1
qstr__C8__a_thief (C8)_a_thief
qstr__C7__a_steppe_nomad_ (C7)_a_steppe_nomad(female)
qstr__C6__a_steppe_nomad_ (C6)_a_steppe_nomad(male)
qstr__C5__a_hunter (C5)_a_hunter
qstr__C4__a_veteran_warri (C4)_a_veteran_warrior
qstr__C3__a_travelling_me (C3)_a_travelling_merchant
qstr__C2__an_impoverished (C2)_an_impoverished_noble(female)
qstr__C1__an_impoverished (C1)_an_impoverished_noble(male)
qstr_C8 C8
qstr_C7 C7
qstr_C6 C6
qstr_C5 C5
qstr_C4 C4
qstr_C3 C3
qstr_C2 C2
qstr_C1 C1
qstr__D5__a_steppe_child (D5)_a_steppe_child
qstr__D4__a_street_urchin (D4)_a_street_urchin
qstr__D3__a_shop_assistan (D3)_a_shop_assistant
qstr__D2__a_craftsman_s_a (D2)_a_craftsman's_apprentice
qstr__D1__a_page_at_a_nob (D1)_a_page_at_a_nobleman's_court
qstr_D5 D5
qstr_D4 D4
qstr_D3 D3
qstr_D2 D2
qstr_D1 D1
qstr__E7__a_game_poacher (E7)_a_game_poacher
qstr__E6__a_smith (E6)_a_smith
qstr__E5__a_goods_peddler (E5)_a_goods_peddler
qstr__E4__a_university_st (E4)_a_university_student
qstr__E3__a_troubadour (E3)_a_troubadour
qstr__E2__a_lady_in_waiti (E2)_a_lady-in-waiting
qstr__E1__a_squire (E1)_a_squire
qstr_E7 E7
qstr_E6 E6
qstr_E5 E5
qstr_E4 E4
qstr_E3 E3
qstr_E2 E2
qstr_E1 E1
qstr__F5__lust_for_money_ (F5)_lust_for_money_and_power
qstr__F4__being_forced_ou (F4)_being_forced_out_of_your_home
qstr__F3__wanderlust (F3)_wanderlust
qstr__F2__the_loss_of_a_l (F2)_the_loss_of_a_loved_one
qstr__F1__personal_reveng (F1)_personal_revenge
qstr_F5 F5
qstr_F4 F4
qstr_F3 F3
qstr_F2 F2
qstr_F1 F1
qstr_Assemble_16_NPCs_to_ Assemble_16_NPCs_to_the_tavern_of_the_first_encountered_town.
qstr_+{reg2} +{reg2}
qstr_Renown Renown
qstr_Gold Gold
qstr_Your_Story Your_Story
qstr_This_is_the_gambling This_is_the_gambling_screen._Hold_down_control_key_while_clicking_on_an_item_to_purchase_or_sell_it.
qstr_Money:_{s1} Money:_{s1}
qstr_You_don_t_have_enoug You_don't_have_enough_money.
qstr_He_don_t_have_enough He_don't_have_enough_money.
qstr_Party_Morale Party_Morale
qstr_Base_morale Base_morale
qstr_+50 +50
qstr_Party_size Party_size
qstr__{reg0} -{reg0}
qstr_{reg0} {reg0}
qstr_Leadership Leadership
qstr_+{reg0} +{reg0}
qstr_Player_s_level Player's_level
qstr_Party_vigor Party_vigor
qstr_No_food No_food
qstr_Food_variety Food_variety
qstr_Wage_debt Wage_debt
qstr_Recent_events Recent_events
qstr_Total Total
qstr_Morale_value_to_chan Morale_value_to_change
qstr_Prospective_party_mo Prospective_party_morale
qstr_Extra_morale_for_kin Extra_morale_for_kingdom_troops
qstr_{s1}_troops {s1}_troops
qstr_Party_Size_Limit Party_Size_Limit
qstr_Base_size Base_size
qstr_+30 +30
qstr_Charisma Charisma
qstr_Towns Towns
qstr_Castles Castles
qstr_Villages Villages
qstr_Party_Prisoner_Size_ Party_Prisoner_Size_Limit
qstr_Player Player
qstr_Heroes Heroes
qstr_Manhunters Manhunters
qstr_Cavalry Cavalry
qstr_Non_Cavalry Non-Cavalry
qstr_Relation_with_the_fa Relation_with_the_factions
qstr_Click_the_totems_to_ Click_the_totems_to_view_relation_with_the_lords
qstr_Loyal Loyal
qstr_Devoted Devoted
qstr_Fond Fond
qstr_Gracious Gracious
qstr_Friendly Friendly
qstr_Supportive Supportive
qstr_Favorable Favorable
qstr_Cooperative Cooperative
qstr_Accepting Accepting
qstr_Indifferent Indifferent
qstr_Suspicious Suspicious
qstr_Grumbling Grumbling
qstr_Hostile Hostile
qstr_Resentful Resentful
qstr_Angry Angry
qstr_Hateful Hateful
qstr_Revengeful Revengeful
qstr_Vengeful Vengeful
qstr_{s1}^^{reg0}__{s3}_ {s1}^^{reg0}_({s3})
qstr_Relation_with_the_lo Relation_with_the_lords_of_{s1}
qstr_Factions Factions
qstr_Show_towns Show_towns
qstr_Show_castles Show_castles
qstr_Show_villages Show_villages
qstr_Tip:_move_the_mouse_ Tip:_move_the_mouse_onto_the_blocks_to_show_center_names_or_faction_names.
qstr_Tip:_Click_on_the_it Tip:_Click_on_the_item_types_below,_then_click_the_Move_Up_button_or_the_Move_Down_button_on_the_right_side_to_change_the_order_of_them.
qstr_Order_of_item_types: Order_of_item_types:
qstr_Horses Horses
qstr_Armours Armours
qstr_Books Books
qstr_Goods Goods
qstr_Items Items
qstr_Page_1 Page_1
qstr_Page_2 Page_2
qstr_Re_sort Re-sort
qstr_Locked._Item_won_t_b Locked._Item_won't_be_auto-upgraded.
qstr_Unlocked._Item_will_ Unlocked._Item_will_be_auto-upgraded.
qstr_Apply_the_upgrading_ Apply_the_upgrading_settings_to_all
qstr_Auto_upgrade_equipme Auto-upgrade_equipments_for_all
qstr_Tips Tips
qstr_Arms_1 Arms_1
qstr_Arms_2 Arms_2
qstr_Left___drag:_exchang Left_-_drag:_exchange_items_manually^Right_-_click:_exchange_items_of_the_same_type_exclude_weapons_automatically^^Up_Arrow_Key:_switch_to_the_previous_hero^Down_Arrow_Key:_switch_to_the_next_hero^Left_Arrow_Key:_switch_to_the_first_hero^Right_Arrow_Key:_switch_to_the_last_hero^^Key_F:_toggle_the_set_of_weapons
qstr_Price_threshold_of_i Price_threshold_of_items_for_picking:
qstr_This_is_a_new_trade_ This_is_a_new_trade_screen_for_books._Hold_down_control_key_while_clicking_on_a_book_to_purchase_or_sell_it.^^The_right_side_is_your_bookcase,_not_your_inventory._You_can_manage_your_bookcase_in_camp_menu.
qstr_Click_on_a_book_on_t Click_on_a_book_on_the_left_to_select_it,_then_click_on_a_hero's_name_below_to_set_the_holder_of_the_book_or_set_its_holder_as_None.
qstr_Reset_All Reset_All
qstr_Auto_Distribute Auto-Distribute
qstr_Import_books Import_books
qstr_Export_book Export_book
qstr_Reference_Books_{reg Reference_Books({reg3}/{reg4})
qstr_{s1}^Holder:_{s2} {s1}^Holder:_{s2}
qstr_Readable_Books_{reg3 Readable_Books({reg3}/{reg4})
qstr_Set_as_None Set_as_None
qstr_{s1}_can_t_read_ {s1}(can't_read)
qstr_{s1}_already_read_ {s1}(already_read)
qstr_Click_the_avatars_to Click_the_avatars_to_view_details_of_them
qstr_Outlaws Outlaws
qstr_Mercenary Mercenary
qstr_Close Close
qstr_Click_the_center_but Click_the_center_button_to_toggle_faction^Click_the_avatars_to_view_details_of_them
qstr_Take_all_captured_en Take_all_captured_enemies_automatically:
qstr_Take_all_rescued_pri Take_all_rescued_prisoners_automatically:
qstr_Horse_s_HP_affects_h Horse's_HP_affects_horse's_speed:
qstr_Horse_charging_for_A Horse_charging_for_AI_troops_(automatically):
qstr_Horse_charging_for_t Horse_charging_for_the_player_(click_left_Alt):
qstr_The_size_of_battlefi The_size_of_battlefield_in_forests:
qstr_Small Small
qstr_Normal Normal
qstr_Large Large
qstr_Extra_large Extra_large
qstr_The_size_of_battlefie The_size_of_battlefield_in_wildness:
qstr_The_multiple_of_batt The_multiple_of_battle_size_in_the_wild:_{reg2}.{reg3}X
qstr_Weapons_of_heroes: Weapons_of_heroes:
qstr_Toggle_to_set_1 Toggle_to_set_1
qstr_Toggle_to_set_2 Toggle_to_set_2
qstr_Default_order_for_th Default_order_for_the_player's_party_when_entering_the_battlefield_in_wildness:
qstr_{s1}:_Hold {s1}:_Hold
qstr_{s1}:_Follow {s1}:_Follow
qstr_{s1}:_Charge {s1}:_Charge
qstr_{s1}:_Retreat {s1}:_Retreat
qstr_Key_to_toggling_came Key_to_toggling_camera:
qstr_Press_a_key Press_a_key
qstr_Choose_the_backgroun Choose_the_background
qstr_The_local_weaponsmit The_local_weaponsmith_will_give_you_a_random_weapon_from_below_if_you_win_the_tournament.
qstr_{!}DEBUG_:_Completed {!}DEBUG_:_Completed_faction_troop_assignments,_cheat_mode:_{reg3}
qstr_{!}ERROR:_Not_enough {!}ERROR:_Not_enough_banners_for_heroes!
qstr_{!}DEBUG____initial_ {!}DEBUG_--_initial_war/peace_check_begins
qstr_{!}DEBUG_:_Completed_ {!}DEBUG_:_Completed_political_events,_cheat_mode:_{reg3}
qstr_{!}DEBUG_:_Assigned_ {!}DEBUG_:_Assigned_love_interests._Attraction_seed:_{reg3}
qstr_{!}DEBUG_:_Located_k {!}DEBUG_:_Located_kingdom_ladies,_cheat_mode:_{reg3}
qstr_{!}DEBUG_:_SYSTEM_ER {!}DEBUG_:_SYSTEM_ERROR!
qstr_{!}DEBUG_:_Prisoner_ {!}DEBUG_:_Prisoner_granted_parole
qstr_{!}DEBUG_:_Prisoner_n {!}DEBUG_:_Prisoner_not_offered_parole
qstr_{s1}_of_{s3}_was_def {s1}_of_{s3}_was_defeated_in_battle_but_managed_to_escape.
qstr_{!}DEBUG_:_Siege_att {!}DEBUG_:_Siege_attackers_are_running_away
qstr_{!}DEBUG:_{s1}_no_lo {!}DEBUG:_{s1}_no_longer_leads_a_party.
qstr_{!}DEBUG:_{s1}_is_no {!}DEBUG:_{s1}_is_no_longer_a_prisoner.
qstr_{!}DEBUG:_{s1}_is_now {!}DEBUG:_{s1}_is_now_a_prisoner_of_player.
qstr_{!}DEBUG:_{s1}_is_now_ {!}DEBUG:_{s1}_is_now_a_prisoner_of_{s2}.
qstr_{s54}_is_a_claimant_ {s54}_is_a_claimant_to_the_throne_of_{s56}.
qstr_nowhere nowhere
qstr_{s57}_and_{s58} {s57}_and_{s58}
qstr_{s57}_{s58} {s57},_{s58}
qstr_{reg3?She:He} {reg3?She:He}
qstr_{!}^{s59} {!}^{s59}
qstr_The_town_of_{s50} The_town_of_{s50}
qstr_The_village_of_{s50} The_village_of_{s50}_near_{s52}
qstr_{!}{s50} {!}{s50}
qstr_{s51}_belongs_to_{s1 {s51}_belongs_to_{s1}_of_{s2}.^
qstr_{s7}_and_{s8} {s7}_and_{s8}
qstr_{s7}_{s8} {s7},_{s8}
qstr_{s2}It_has_no_villag {s2}It_has_no_villages.^
qstr_{s2}{reg0?Its_villag {s2}{reg0?Its_villages_are:Its_village_is}_{s8}.^
qstr_{!}{s2}{s0}^ {!}{s2}{s0}^
qstr_{s2}Its_prosperity_i {s2}Its_prosperity_is:_{s50}
qstr_noone noone
qstr_{s9}_and_{s10} {s9}_and_{s10}
qstr_{s9}_{s10} {s9},_{s10}
qstr_{!}DEBUG_:_{s21}.^CH {!}DEBUG_:_{s21}.^CHEAT_MODE_ASSESSMENT:_{s14}^
qstr_{s5}_has_been_defeat {s5}_has_been_defeated!
qstr_{!}DEBUG____Assigned {!}DEBUG_--_Assigned_lord_reputation_and_relations
qstr_{s7}_opened_the_gate {s7}_opened_the_gate
qstr_{s7}_closed_the_gate {s7}_closed_the_gate
qstr_+{reg1}_to_party_mor +{reg1}_to_party_morale
qstr_tactics tactics
qstr_persuasion persuasion
qstr_leadership leadership
qstr_intelligence intelligence
qstr_weapon_mastery weapon_mastery
qstr_engineer engineer
qstr_+1_to_{s1}_after_rea +1_to_{s1}_after_reading
qstr_Requires_{reg1}_inte Requires_{reg1}_intelligence_to_read
qstr_Reading_Progress: Reading_Progress:
qstr_{s0}^{s1}:{reg1}.{re {s0}^{s1}:{reg1}.{reg2}%
qstr_wound_treament wound_treament
qstr_trainer trainer
qstr_spotting spotting
qstr_first_aid first_aid
qstr_pathfinding pathfinding
qstr_+1_to_{s1}_while_hol +1_to_{s1}_while_holding_it
qstr_Carry_on_the_back Carry_on_the_back
qstr_Carry_at_the_waist Carry_at_the_waist
qstr_Missile_speed:_{reg1 Missile_speed:_{reg1}
qstr_Can_penetrate_shield Can_penetrate_shield
qstr_Civilian_clothing Civilian_clothing
qstr_Press_key_{s1}_to_to Press_key_{s1}_to_toggle_weapon_mode
qstr_Couchable Couchable
qstr_Can_knock_down Can_knock_down
qstr_Extra_penetration Extra_penetration
qstr_Special_item Special_item
qstr_Training_Progress:_{ Training_Progress:_{reg1}.{reg2}%
qstr_Sort_your_inventory Sort_your_inventory
qstr_View_notes View_notes
qstr_Move_here Move_here
qstr_Give_all_prisoners_t Give_all_prisoners_to_the_prison
qstr_Taken_all_prisoners_ Taken_all_prisoners_from_the_prison
qstr_Give_all_regular_tro Give_all_regular_troops_to_garrison
qstr_Sort_the_defenders Sort_the_defenders
qstr_Accompany Accompany
qstr_All_prisoners_have_b All_prisoners_have_been_transferred.
qstr_All_regular_troops_h All_regular_troops_have_been_transferred.
qstr_{!}_{s61}_{s0}_ {!}_{s61}({s0})
qstr__{s61}_{s62}_ _{s61}({s62})
qstr_{!}DEBUG____ERROR:_M {!}DEBUG_--_ERROR:_More_than_15_trade_routes_are_given_for_{s1}.
qstr_{!}DEBUG____Caravan_ {!}DEBUG_--_Caravan_trades_in_{s4},_originally_from_{s5}
qstr_{!}New_tariffs_at_{s {!}New_tariffs_at_{s4}_=_{reg4},_total_=_{reg5}
qstr_{!}{s4}_is_sent_to_{ {!}{s4}_is_sent_to_{s5}_after_defeat
qstr_{!}DEBUGS_:_enemy_lo {!}DEBUGS_:_enemy_loses_:_{reg0}
qstr_{!}DEBUGS1_:_total_g {!}DEBUGS1_:_total_gain_:_{reg0}
qstr_{!}DEBUGS2_:_total_g {!}DEBUGS2_:_total_gain_:_{reg0}
qstr_{!}DEBUGS3_:_num_pla {!}DEBUGS3_:_num_player_party_shares:{reg0},_total_gain:{reg1}
qstr_killed killed
qstr_wounded wounded
qstr_{!}{reg3?{reg3}:}_{s {!}{reg3?{reg3}:}_{s1}_({s2})
qstr_{!}{s0}_{reg3?{reg3} {!}{s0},_{reg3?{reg3}:}_{s1}_({s2})
qstr_{!}{s0}^{reg3?{reg3} {!}{s0}^{reg3?{reg3}:}_{s1}_({s2})
qstr_{s0}^TOTAL:_{reg3}__ {s0}^TOTAL:_{reg3}_({s2})
qstr_^None ^None
qstr_nothing nothing
qstr_{reg0}_village{reg1? {reg0}_village{reg1?s:}
qstr_{reg0}_castle{reg1?s {reg0}_castle{reg1?s:}
qstr_{reg0}_castle{reg1?s: {reg0}_castle{reg1?s:}_and_{s0}
qstr_{reg0}_town{reg1?s:} {reg0}_town{reg1?s:}
qstr_{reg0}_town{reg1?s:}_ {reg0}_town{reg1?s:}_and_{s0}
qstr_{reg0}_town{reg1?s:}_{ {reg0}_town{reg1?s:},_{s0}
qstr_Your_opponents_are_r Your_opponents_are_ready_for_the_fight.
qstr_Try_to_destroy_as_ma Try_to_destroy_as_many_targets_as_you_can._You_have_two_and_a_half_minutes_to_clear_the_track.
qstr_Stay_behind_the_line Stay_behind_the_line_on_the_ground_and_shoot_the_targets._Try_not_to_waste_any_shots.
qstr_{!}DEBUG____Checking {!}DEBUG_--_Checking_for_denounce_lord,_eligible_in_{reg4}_days
qstr_{!}DEBUG____Rival_fo {!}DEBUG_--_Rival_found_in_{s4}
qstr_{!}DEBUG____{s4}_is_ {!}DEBUG_--_{s4}_is_not_close_friend_of_player
qstr_{!}DEBUG____{s4}_has {!}DEBUG_--_{s4}_has_{reg3}_rivals
qstr_{!}DEBUG____Checking_ {!}DEBUG_--_Checking_for_intrigue,_eligible_in_{reg4}_days
qstr_{!}DEBUG____Trying_f {!}DEBUG_--_Trying_for_intrigue_against_lord
qstr_{!}DEBUG____{s4}_has_ {!}DEBUG_--_{s4}_has_sufficiently_low_relation_with_liege
qstr_{!}DEBUG____{s4}_has_s {!}DEBUG_--_{s4}_has_sufficiently_low_relation_with_giver_troop
qstr_{!}DEBUG____{s4}_has_su {!}DEBUG_--_{s4}_has_sufficiently_low_relation_with_player
qstr_{!}DEBUG____Checking_f {!}DEBUG_--_Checking_for_resolve_dispute,_eligible_in_{reg4}_days
qstr_{!}DEBUG____Checking_fo {!}DEBUG_--_Checking_for_offer_gift,_eligible_in_{reg4}_days
qstr_Chance_of_getting_a_ Chance_of_getting_a_special_item:_{reg0}%.
qstr_Click_left_Alt_to_en Click_left_Alt_to_enable/disable_horse_charging.
qstr_{s9}_wants_you_to_re {s9}_wants_you_to_resume_following_his_army_until_further_notice.
qstr_{!}DEBUG___{s4}_fact {!}DEBUG_-_{s4}_faction_changed_in_normal_faction_change
qstr_{!}DEBUG___{s4}_facti {!}DEBUG_-_{s4}_faction_changed_by_guardian_moving
qstr_{!}DEBUG____{s4}_awa {!}DEBUG_--_{s4}_awarded_to_{s5}
qstr_{s4}_from_{s5} {s4}_from_{s5}
qstr__Being_Raided_ (Being_Raided)
qstr__Looted_ (Looted)
qstr__Under_Siege_ (Under_Siege)
qstr_The_village_of_{s1}_ The_village_of_{s1}_has_been_looted_by_{s2}.
qstr_Enemies_have_Laid_Wa Enemies_have_Laid_Waste_to_a_Fief._{s1}_has_been_raided_by_{s2}_of_{s3}!
qstr_{s3}_is_no_longer_un {s3}_is_no_longer_under_siege.
qstr_{!}DEBUG_:_There_are {!}DEBUG_:_There_are_already_enemies_({s6})_inside_{s7}.
qstr_{!}DEBUG____Calculat {!}DEBUG_--_Calculating_sortie_for_{s4}_strength_of_{reg3}_vs_{reg4}_enemies
qstr_Small_bands_of_enemi Small_bands_of_enemies_spotted_near_{s1}.
qstr_Enemy_patrols_spotte Enemy_patrols_spotted_near_{s1}.
qstr_Medium_sized_group_o Medium-sized_group_of_enemies_spotted_near_{s1}.
qstr_Significant_group_of Significant_group_of_enemies_spotted_near_{s1}.
qstr_Army_of_enemies_spot Army_of_enemies_spotted_near_{s1}.
qstr_Large_army_of_enemie Large_army_of_enemies_spotted_near_{s1}.
qstr_Great_host_of_enemie Great_host_of_enemies_spotted_near_{s1}.
qstr_{!}DEBUG_:_{s7}_is_h {!}DEBUG_:_{s7}_is_helping_his_commander_by_fighting_with_{s6}.
qstr_{s1}_has_been_besieg {s1}_has_been_besieged_by_{s2}_of_{s3}.
qstr_Warnling!_Your_Villa Warnling!_Your_Village_is_under_Attack._{s2}_of_{s3}_is_laying_waste_to_{s1}.
qstr__{s1}__{s11}:_{s14} ({s1})_{s11}:_{s14}
qstr_{s14}__{s21}_ {s14}_({s21})
qstr_{!}DEBUG____{s4}_dro {!}DEBUG_--_{s4}_drops_{s5}_as_issue_as_it_has_changed_hands
qstr_{!}DEBUG____Issue_re {!}DEBUG_--_Issue_resolution_for_{s4}:_{reg4}_votes_for_a_quorum_of_{reg5},_{reg7}_hours_on_agenda
qstr_{!}DEBUG____Faction_ {!}DEBUG_--_Faction_resolves_political_issue
qstr_{!}DEBUG____{s4}_drop {!}DEBUG_--_{s4}_drops_{s5}_as_winner,_for_having_changed_sides
qstr_{s1}_is_the_new_mars {s1}_is_the_new_marshal_of_{s2}.
qstr_{!}DEBUG____{s4}_par {!}DEBUG_--_{s4}_participates_in_offensive
qstr_{!}DEBUG____{s4}_cho {!}DEBUG_--_{s4}_chosen_as_screen
qstr_You_gained_{reg12}_r You_gained_{reg12}_renown.
qstr_You_lose_{reg12}_ren You_lose_{reg12}_renown.
qstr_Your_relation_with_{ Your_relation_with_{s1}_has_improved.
qstr_Your_relation_with_{s Your_relation_with_{s1}_has_deteriorated.
qstr_You_gain_honour. You_gain_honour.
qstr_You_lose_honour. You_lose_honour.
qstr_{s1}_has_declared_wa {s1}_has_declared_war_against_{s2}.
qstr_{!}DEbug___{s5}_cara {!}DEbug_-_{s5}_caravan_attacked
qstr_{s1}_and_{s2}_have_m {s1}_and_{s2}_have_made_peace_with_each_other.
